name,unit_info,price,usual_price,discount,description,url,image,categories,store
Heineken Pilsener,24 x 300 ml,18.65,18.65,null,PILSENER BIER. CAT I,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/bier/heineken-pilsener/6
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/77341_1_10040_638175825098984885.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Bier/Heineken pilsener,Dirk
Bio+ Biologische rode bieten gekookt,500 g,1.29,1.29,null,Biologische rode bieten gekookt,"https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/groente/bio-biologische-rode-bieten-gekookt/9
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/82921_1_100966_638150157125220913.png?width=500&height=500&mode=crop,Aardappelen groente fruit/Groente/Bio biologische rode bieten gekookt,Dirk
Maggi Doseerjus naturel,180 g,2.79,2.79,null,"Juspoeder voor 1,5L jus.","https://www.dirk.nl/boodschappen/voorraadkast/oli%C3%ABn-sauzen-mixen/maggi-doseerjus-naturel/10
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/61390_1_101093_637395588978981740.png?width=500&height=500&mode=crop,Voorraadkast/Oliën sauzen mixen/Maggi doseerjus naturel,Dirk
Tokkelroom Naturel,500 ml,4.89,4.89,null,Een heerlijke licht alcoholische eierdrank.,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/aperitieven-mixen/tokkelroom-naturel/11
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1732_1_101109_637768944062096742.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Aperitieven mixen/Tokkelroom naturel,Dirk
Ambition Gembersiroop,300 ml,1.85,1.85,null,gembersiroop,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/ambition-gembersiroop/15
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/976_1_101330_637181469187680116.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Ambition gembersiroop,Dirk
Flemming's Broodje frikandel,2 stuks,1.69,1.69,null,Twee frikandellen tussen witte hotdog broodjes met sachets mayonaise en tomatenketchup,"https://www.dirk.nl/boodschappen/maaltijden-salades-tapas/verse-maaltijden/flemming-s-broodje-frikandel/28
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/12349_1_101780_638058447672018596.png?width=500&height=500&mode=crop,Maaltijden salades tapas/Verse maaltijden/Flemming s broodje frikandel,Dirk
Whiskas Saus rundvlees,400 g,95,95,null,VOLLEDIG DIERVOEDER VOOR VOLWASSEN KATTEN.,"https://www.dirk.nl/boodschappen/huishoud-huisdieren/huisdieren/whiskas-saus-rundvlees/33
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/53861_1_101904_637292781162557677.png?width=500&height=500&mode=crop,Huishoud huisdieren/Huisdieren/Whiskas saus rundvlees,Dirk
Sudocrem Crème hypo-allergeen,125 g,3.99,3.99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/babyverzorging/sudocrem-cr%C3%A8me-hypo-allergeen/37
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2744_1_102073_637315470072194483.png?width=500&height=500&mode=crop,Kind drogisterij/Babyverzorging/Sudocrem crème hypo allergeen,Dirk
Pedigree Dentastix mini 7 stuks,110 g,1.99,1.99,null,Aanvullend diervoeder voor honden vanaf 4 maanden.,"https://www.dirk.nl/boodschappen/huishoud-huisdieren/huisdieren/pedigree-dentastix-mini-7-stuks/39
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/53862_1_102183_638052399652335696.png?width=500&height=500&mode=crop,Huishoud huisdieren/Huisdieren/Pedigree dentastix mini 7 stuks,Dirk
Silvo Shake it gebakken aardappelen,36 g,59,1.13,-57.87,Mix voor Aardappelen Gebakken,"https://www.dirk.nl/boodschappen/voorraadkast/kruiden-specerijen/silvo-shake-it-gebakken-aardappelen/42
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/99741_1_102325_637786341635224406.png?width=500&height=500&mode=crop,Voorraadkast/Kruiden specerijen/Silvo shake it gebakken aardappelen,Dirk
Silvo Mix voor stamppot andijvie,25 g,59,1.69,-57.31,Mix voor Stamppot Andijvie,"https://www.dirk.nl/boodschappen/voorraadkast/kruiden-specerijen/silvo-mix-voor-stamppot-andijvie/49
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/99742_1_102402_637867368647597075.png?width=500&height=500&mode=crop,Voorraadkast/Kruiden specerijen/Silvo mix voor stamppot andijvie,Dirk
Lu Prince cake & choc,5 stuks,2.19,2.19,null,Zacht cakeje met chocoladestukjes.,"https://www.dirk.nl/boodschappen/brood-beleg-koek/koekjes/lu-prince-cake-choc/51
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/811_1_102465_637735419674993361.png?width=500&height=500&mode=crop,Brood beleg koek/Koekjes/Lu prince cake choc,Dirk
Kotex Maandverband maxi night time,10 stuks,1.66,1.66,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/dameshygi%C3%ABne/kotex-maandverband-maxi-night-time/61
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/118924_1_102757_638048106478008091.png?width=500&height=500&mode=crop,Kind drogisterij/Dameshygiëne/Kotex maandverband maxi night time,Dirk
Kotex Maandverband maxi super,16 stuks,1.49,1.49,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/dameshygi%C3%ABne/kotex-maandverband-maxi-super/63
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/118925_1_102759_638048106485638571.png?width=500&height=500&mode=crop,Kind drogisterij/Dameshygiëne/Kotex maandverband maxi super,Dirk
Valess Vegetarische Schnitzel 2 stuks,180 g,3.29,3.29,null,Bakproduct uit smeltkaas met toegevoegd ijzer,"https://www.dirk.nl/boodschappen/vlees-vis/vegetarisch/valess-vegetarische-schnitzel-2-stuks/75
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/63141_1_103286_638028144086829602.png?width=500&height=500&mode=crop,Vlees vis/Vegetarisch/Valess vegetarische schnitzel 2 stuks,Dirk
Nagelborstel hout,Per stuk,97,97,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/huishoud-huisdieren/schoonmaakbenodigdheden/nagelborstel-hout/90
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/745_1_103870_637171209265003000.png?width=500&height=500&mode=crop,Huishoud huisdieren/Schoonmaakbenodigdheden/Nagelborstel hout,Dirk
Pickwick Kamille Honing kruiden thee,20 zakjes,1.79,1.79,null,Gearomatiseerde kamille met honing,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/thee/pickwick-kamille-honing-kruiden-thee/91
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/111861_1_103904_638067087653879504.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Thee/Pickwick kamille honing kruiden thee,Dirk
Milka Choco swing,300 g,3.29,3.29,null,"Gevulde melkchocolade (van Alpenmelk) met cacaocrèmevulling (28 %), melkcrèmevulling (18 %) en biscuit (13 %).","https://www.dirk.nl/boodschappen/snacks-snoep/chocolade/milka-choco-swing/106
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/118381_1_104446_637897293702555953.png?width=500&height=500&mode=crop,Snacks snoep/Chocolade/Milka choco swing,Dirk
Johma Huzaren salade,500 g,1.95,1.95,null,Aardappelsalade met rundvlees en groenten,"https://www.dirk.nl/boodschappen/maaltijden-salades-tapas/salades/johma-huzaren-salade/115
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/75461_1_104633_638034138060138011.png?width=500&height=500&mode=crop,Maaltijden salades tapas/Salades/Johma huzaren salade,Dirk
Johma Rundvleessalade superieur,500 g,2.19,2.19,null,Aardappel-rundvleessalade,"https://www.dirk.nl/boodschappen/maaltijden-salades-tapas/salades/johma-rundvleessalade-superieur/116
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/75462_1_104660_638034138068497302.png?width=500&height=500&mode=crop,Maaltijden salades tapas/Salades/Johma rundvleessalade superieur,Dirk
Studioline Haargel Invisi fix super strong,150 ml,4.99,4.99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/haarverzorging/studioline-haargel-invisi-fix-super-strong/119
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/191_1_105105_637841250034458179.png?width=500&height=500&mode=crop,Kind drogisterij/Haarverzorging/Studioline haargel invisi fix super strong,Dirk
Raak Limonadesiroop framboos,750 ml,2.05,2.05,null,Vruchtensiroop frambozen met suikers en zoetstoffen,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/limonade/raak-limonadesiroop-framboos/127
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/7498_1_105331_637801875668569038.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Limonade/Raak limonadesiroop framboos,Dirk
Raak Limonadesiroop reine claude,750 ml,2.05,2.05,null,Vruchtensiroop pruimen met suikers en zoetstoffen,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/limonade/raak-limonadesiroop-reine-claude/128
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/7499_1_105334_637801875675638162.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Limonade/Raak limonadesiroop reine claude,Dirk
Raak Limonadesiroop multivruchten,750 ml,2.05,2.05,null,Vruchtensiroop multivruchten met suikers en zoetstoffen,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/limonade/raak-limonadesiroop-multivruchten/131
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/7500_1_105345_637801875682597002.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Limonade/Raak limonadesiroop multivruchten,Dirk
Oreo Milk choco 6 x 2 stuks,246 g,2.15,2.15,null,"CACAOBISCUITS (38%) MET VANILLESMAAKVULLING (19%), OMHULD MET EEN GLAZUUR (43%) MET MELKCHOCOLADESMAAK.","https://www.dirk.nl/boodschappen/brood-beleg-koek/koekjes/oreo-milk-choco-6-x-2-stuks/132
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/765_1_105418_637895097078840605.png?width=500&height=500&mode=crop,Brood beleg koek/Koekjes/Oreo milk choco 6 x 2 stuks,Dirk
Castello Danablu 50+,125 g,2.39,2.39,null,Danablu 50+,"https://www.dirk.nl/boodschappen/zuivel-kaas/overige-kazen/castello-danablu-50/135
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/86941_1_105566_637722225022785904.png?width=500&height=500&mode=crop,Zuivel kaas/Overige kazen/Castello danablu 50,Dirk
Konings Halfvolle aardbeien kwark,450 g,1.49,1.49,null,Halfvolle aardbeien kwark,"https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/konings-halfvolle-aardbeien-kwark/138
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/3981_1_105755_637182189179088306.png?width=500&height=500&mode=crop,Zuivel kaas/Yoghurt kwark pap/Konings halfvolle aardbeien kwark,Dirk
Bonduelle Rode kidneybonen,160 g,1.09,1.09,null,Rode kidneybonen vacuüm met stoom bereid,"https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/groenteconserven/bonduelle-rode-kidneybonen/143
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/3481_1_10641_637846875695872878.png?width=500&height=500&mode=crop,Aardappelen groente fruit/Groenteconserven/Bonduelle rode kidneybonen,Dirk
Grand'Italia Pastasaus besciamella,400 g,2.79,2.79,null,BESCIAMELLA ROOMSAUS,"https://www.dirk.nl/boodschappen/voorraadkast/pasta-pasta-sauzen/grand-italia-pastasaus-besciamella/149
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/7253_1_106640_637834599094781676.png?width=500&height=500&mode=crop,Voorraadkast/Pasta pasta sauzen/Grand italia pastasaus besciamella,Dirk
Ambition Chinese stemgember,450 g,2.25,2.25,null,Stem gember,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/ambition-chinese-stemgember/150
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2498_1_106689_637170345226109207.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Ambition chinese stemgember,Dirk
Dr. Oetker Citroenrasp,150 g,1.29,1.29,null,Citroenrasp,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/dr-oetker-citroenrasp/178
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/3391_1_107824_637181577042941544.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Dr oetker citroenrasp,Dirk
Dr. Oetker Amandelspijs,300 g,2.69,2.69,null,Amandelspijs,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/dr-oetker-amandelspijs/179
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/3392_1_107829_637170237273207552.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Dr oetker amandelspijs,Dirk
Dr. Oetker Vanille suiker,80 g,89,89,null,Suiker met vanillesmaak voor levensmiddelen,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/dr-oetker-vanille-suiker/190
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/82421_1_108376_637674957617406090.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Dr oetker vanille suiker,Dirk
Van Dijk's Roggebrood fries,500 g,1.25,1.25,null,Ambachtelijk Fries Roggebrood,"https://www.dirk.nl/boodschappen/brood-beleg-koek/brood/van-dijk-s-roggebrood-fries/191
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1929_1_108460_637176285203099220.png?width=500&height=500&mode=crop,Brood beleg koek/Brood/Van dijk s roggebrood fries,Dirk
Chocomel Chocolademelk halfvol,6 x 200 ml,3.45,3.45,null,"Halfvolle chocoladedrank (1,6% vet), UHT","https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-halfvol/194
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/12664_1_108597_637983405654420227.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Houdbare zuivel/Chocomel chocolademelk halfvol,Dirk
Chocomel Chocolademelk vol,6 x 200 ml,3.39,3.39,null,Chocolademelk (UHT),"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-vol/195
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/8993_1_108600_637983405664494576.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Houdbare zuivel/Chocomel chocolademelk vol,Dirk
Yum Yum Noodles garnalen,60 g,51,51,null,Instant noedels met garnalensmaak,"https://www.dirk.nl/boodschappen/maaltijden-salades-tapas/houdbare-maaltijden/yum-yum-noodles-garnalen/196
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/6328_1_108608_638124804640847808.png?width=500&height=500&mode=crop,Maaltijden salades tapas/Houdbare maaltijden/Yum yum noodles garnalen,Dirk
Hero Cassis,250 ml,62,62,null,"Frisdrank met het sap van zwarte bessen, gezoet met suiker en zoetstoffen.","https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/frisdranken/hero-cassis/207
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/10189_1_109770_637970139690141917.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Frisdranken/Hero cassis,Dirk
Dumil Huisvuilzakken 30 liter,20 stuks,1.09,1.09,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/huishoud-huisdieren/(vuilnis)zakken-folies/dumil-huisvuilzakken-30-liter/219
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/118521_1_110705_637897293716539887.png?width=500&height=500&mode=crop,Huishoud huisdieren/(vuilnis)zakken folies/Dumil huisvuilzakken 30 liter,Dirk
Kühne Dijon mosterd extra pittig,180 ml,1.19,1.19,null,Dijon Mosterd,"https://www.dirk.nl/boodschappen/voorraadkast/oli%C3%ABn-sauzen-mixen/k%C3%BChne-dijon-mosterd-extra-pittig/241
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/581_1_110985_637175421169512507.png?width=500&height=500&mode=crop,Voorraadkast/Oliën sauzen mixen/Kühne dijon mosterd extra pittig,Dirk
Zwitsal Babyolie,400 ml,2.99,2.99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/babyverzorging/zwitsal-babyolie/248
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/4074_1_111123_637170156252254776.png?width=500&height=500&mode=crop,Kind drogisterij/Babyverzorging/Zwitsal babyolie,Dirk
Honig Mix voor groentesaus kaas,140 g,1.55,1.55,null,MIX IN DROGE VORM,"https://www.dirk.nl/boodschappen/voorraadkast/oli%C3%ABn-sauzen-mixen/honig-mix-voor-groentesaus-kaas/252
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/146101_1_111347_638090514246527485.png?width=500&height=500&mode=crop,Voorraadkast/Oliën sauzen mixen/Honig mix voor groentesaus kaas,Dirk
New Wave Gel Spray ultra strong power hold,150 ml,3.99,3.99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/haarverzorging/new-wave-gel-spray-ultra-strong-power-hold/263
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/134101_1_111740_637997841108548531.png?width=500&height=500&mode=crop,Kind drogisterij/Haarverzorging/New wave gel spray ultra strong power hold,Dirk
Healthy People Granaatappel,1 liter,2.29,2.29,null,"Vruchtendrank met ten minste 27% vruchtensap. Met toegevoegde vitamine B6, B11, B12 en C. Kort verhit.","https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/vruchtensappen/healthy-people-granaatappel/265
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/72986_1_111983_637608393657130860.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Vruchtensappen/Healthy people granaatappel,Dirk
Multy Badspons ovaal,Per stuk,79,79,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/bad-douche-zeep/multy-badspons-ovaal/269
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/328_1_112214_637175538182555414.png?width=500&height=500&mode=crop,Kind drogisterij/Bad douche zeep/Multy badspons ovaal,Dirk
Verkade Biscuits maria,200 g,1.65,1.65,null,BISCUITS,"https://www.dirk.nl/boodschappen/brood-beleg-koek/koekjes/verkade-biscuits-maria/288
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/3482_1_112983_638124804649656478.png?width=500&height=500&mode=crop,Brood beleg koek/Koekjes/Verkade biscuits maria,Dirk
Nivea Douchegel care & cashmere,250 ml,3.22,3.22,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/bad-douche-zeep/nivea-douchegel-care-cashmere/291
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/129261_1_113005_638155143036478514.png?width=500&height=500&mode=crop,Kind drogisterij/Bad douche zeep/Nivea douchegel care cashmere,Dirk
Nivea Doucheolie natural oil,200 ml,4.69,4.69,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/bad-douche-zeep/nivea-doucheolie-natural-oil/292
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/18213_1_113009_638155143049977606.png?width=500&height=500&mode=crop,Kind drogisterij/Bad douche zeep/Nivea doucheolie natural oil,Dirk
Duyvis Oven roasted peanuts salted,225 g,2.19,2.19,null,Geroosterde pinda's met hartige smaak.,"https://www.dirk.nl/boodschappen/snacks-snoep/noten-pinda-s/duyvis-oven-roasted-peanuts-salted/303
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/86737_1_113625_637807077648352629.png?width=500&height=500&mode=crop,Snacks snoep/Noten pinda s/Duyvis oven roasted peanuts salted,Dirk
